Port,Service,Banner,Target,IP,Scan_Date
22,SSH,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13,scanme.nmap.org,45.33.32.156,2026-04-05 13:33:58
80,HTTP,,scanme.nmap.org,45.33.32.156,2026-04-05 13:33:58
